mint,baseline_verdict_id,baseline_q_score,baseline_verdict_kind,enriched_verdict_id,enriched_q_score,enriched_verdict_kind,q_score_delta,verdict_changed,dogs_voted
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,N/A,0.37190467698289764,Growl,0f02f83c-7f86-4c8d-aa47-b4a9213255e5,0.39166666666666666,Growl,.01976198968376902,0,1
32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,N/A,0.32038713441589045,Growl,4cb1f0e7-75c3-4b77-bd58-95f159c123f5,0.39166666666666666,Growl,.07127953225077621,0,1
38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,N/A,0.33088967722973356,Growl,5c8b7523-7916-4203-bedf-fdfd2074962d,0.39166666666666666,Growl,.06077698943693310,0,1
3B1ijcocM5EDga6XxQ7JLW7weocQPWWjuhBYG8Vepump,N/A,0.32038713441589045,Growl,48bc3750-164d-4784-be0c-dd8c85822201,0.39166666666666666,Growl,.07127953225077621,0,1
3WPep4ufaToK1aS5s8BL9inzeUrt4DYaQCiic6ZkkC1U,N/A,0.4746681407831883,Wag,8dd4e85f-5836-4b0a-8112-60118a8937eb,0.39166666666666666,Growl,-.08300147411652164,1,1
463SK47VkB7uE7XenTHKiVcMtxRsfNE2X4Q9wByaURVA,N/A,0.47901234795292197,Wag,736e7ce5-4f55-42a0-9561-4381ee9c4b8d,0.39166666666666666,Growl,-.08734568128625531,1,1
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,N/A,0.404954688551703,Wag,6711c487-1fe0-475b-a3b8-e3d206611fa7,0.39166666666666666,Growl,-.01328802188503634,1,1
4yDSFNMitxy6waXPTkPyyVvbbQSiqe7zD1VxnzEypump,N/A,0.3184510536843998,Growl,27a3aca8-3f71-4cfd-bcd4-f546e8b08321,0.38333333333333336,Growl,.06488227964893356,0,1
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,N/A,0.41744888550205894,Wag,2260a790-0671-480a-86c9-366b61f5852c,0.39166666666666666,Growl,-.02578221883539228,1,1
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,N/A,0.49775468591053385,Wag,ce19c0ac-8e5a-4314-af9e-6032a07308f1,0.39166666666666666,Growl,-.10608801924386719,1,1
69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,N/A,0.3667438914427982,Growl,a8854445-3438-4ad5-b60c-4d684cf9f102,0.39166666666666666,Growl,.02492277522386846,0,1
6iA73gWCKkLWKbVr8rgibV57MMRxzsaqS9cWpgKBpump,N/A,0.32038713441589045,Growl,3500c9c5-2256-430a-a9be-868ce4705ac3,0.39166666666666666,Growl,.07127953225077621,0,1
6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,N/A,0.31226065747864235,Growl,null,0,,-.31226065747864235,1,
76EDL5qNcte2ZH29quTaFzagXjWAEY83CATEjyA6pump,N/A,0.321412749303214,Growl,null,0,,-.321412749303214,1,
89S7oVB4hui8ceJqhHreWB7fcxdthfvoB7z2pfJtpump,N/A,0.30388441474085454,Growl,null,0,,-.30388441474085454,1,
8DKgjd6zAYuP9fVmMHBBtygPqkJ111LrMCT7tDyPhE55,N/A,0.41135937905994785,Wag,null,0,,-.41135937905994785,1,
8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,N/A,0.32038713441589045,Growl,bce4b545-c413-4185-849f-d45a2e54169d,0.39166666666666666,Growl,.07127953225077621,0,1
8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f,N/A,0.3921012988969152,Wag,null,0,,-.3921012988969152,1,
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,N/A,0.35402323140454306,Growl,null,0,,-.35402323140454306,1,
9zB5wRarXMj86MymwLumSKA1Dx35zPqqKfcZtK1Spump,N/A,0.323003046045406,Growl,null,0,,-.323003046045406,1,
ACtfUWtgvaXrQGNMiohTusi5jcx5RJf5zwu9aAxkpump,N/A,0.32673863356815647,Growl,null,0,,-.32673863356815647,1,
CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,N/A,0.35402323140454306,Growl,fcef40ea-da8d-4140-81b9-682d5ac4dbbc,0.39166666666666666,Growl,.03764343526212360,0,1
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,N/A,0.3275973594747914,Growl,null,0,,-.3275973594747914,1,
CFYhdWXsYfS7swnJgHRwb5toTHMEQD7Ljd5gGwKLpump,N/A,0.30388441474085454,Growl,null,0,,-.30388441474085454,1,
CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,N/A,0.32673863356815647,Growl,null,0,,-.32673863356815647,1,
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,N/A,0.3544936965921973,Growl,null,0,,-.3544936965921973,1,
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,N/A,0.35402323140454306,Growl,a2de736e-5685-43bb-91a9-f5861a5d2c06,0.39166666666666666,Growl,.03764343526212360,0,1
Eg2ymQ2aQqjMcibnmTt8erC6Tvk9PVpJZCxvVPJz2agu,N/A,0.4023056012521319,Wag,null,0,,-.4023056012521319,1,
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,N/A,0.404954688551703,Wag,null,0,,-.404954688551703,1,
EsLb2XdNWVezNnhEsRVKYZ7BymiKUabzh4tdVhz4pump,N/A,0.3117929028223209,Growl,null,0,,-.3117929028223209,1,
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,N/A,0.31880971704370203,Growl,null,0,,-.31880971704370203,1,
GPwwihLa1w9Qsz27SmNrj7aLVnE7pr2cAvHe6aVVpump,N/A,0.3927578811046844,Wag,4e8666cb-67c2-4761-ad95-12a5e095b434,0.39166666666666666,Growl,-.00109121443801774,1,1
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,N/A,0.37797631496846196,Growl,null,0,,-.37797631496846196,1,
J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,N/A,0.4277444160958137,Wag,null,0,,-.4277444160958137,1,
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,N/A,0.37190467698289764,Growl,null,0,,-.37190467698289764,1,
nosXBVoaCTtYdLvKY6Csb4AC8JCdQKKAaWYtx2ZMoo7,N/A,0.4202987519642395,Wag,8017f649-e693-4f79-afaa-23fcf6f28419,0.39166666666666666,Growl,-.02863208529757284,1,1
NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,N/A,0.32673863356815647,Growl,null,0,,-.32673863356815647,1,
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,N/A,0.41885685417905244,Wag,null,0,,-.41885685417905244,1,
rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,N/A,0.39572048929358533,Wag,null,0,,-.39572048929358533,1,
sGzragYKDrmRgCGvJUn9WKwrmnUZwfmkNQLTSPfdMNq,N/A,0.40032486052887906,Wag,null,0,,-.40032486052887906,1,
SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y,N/A,0.3946831932772577,Wag,null,0,,-.3946831932772577,1,
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,N/A,0.5016942754742558,Wag,cf25fb20-ee41-491d-bfc5-ace1c35cece0,0.39166666666666666,Growl,-.11002760880758914,1,1
zGh48JtNHVBb5evgoZLXwgPD2Qu4MhkWdJLGDAupump,N/A,0.38298027884200836,Wag,null,0,,-.38298027884200836,1,
