mint,baseline_verdict_id,baseline_q_score,baseline_verdict_kind,enriched_verdict_id,enriched_q_score,enriched_verdict_kind,q_score_delta,verdict_changed,dogs_voted
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,N/A,0.37190467698289764,Growl,b0129754-7b4d-49ae-9c91-1ba3b707b617,0.39166666666666666,Growl,.01976198968376902,0,1
32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,N/A,0.32038713441589045,Growl,3e3be458-a0c6-404c-baf3-e3f43c8c9ed8,0.39166666666666666,Growl,.07127953225077621,0,1
38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,N/A,0.33088967722973356,Growl,8c0709b8-eba1-4b04-a11f-8aeb62522331,0.39166666666666666,Growl,.06077698943693310,0,1
3B1ijcocM5EDga6XxQ7JLW7weocQPWWjuhBYG8Vepump,N/A,0.32038713441589045,Growl,f56263fa-6424-4f4e-8589-645be8ac0c36,0.39166666666666666,Growl,.07127953225077621,0,1
3WPep4ufaToK1aS5s8BL9inzeUrt4DYaQCiic6ZkkC1U,N/A,0.4746681407831883,Wag,993be980-f780-4fcd-b525-920dadca34c3,0.39166666666666666,Growl,-.08300147411652164,1,1
463SK47VkB7uE7XenTHKiVcMtxRsfNE2X4Q9wByaURVA,N/A,0.47901234795292197,Wag,2976b19f-2047-4cf6-aa6c-749c62443db9,0.39166666666666666,Growl,-.08734568128625531,1,1
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,N/A,0.404954688551703,Wag,62e76b26-d199-4bbb-836a-598b2d8c3fb0,0.39166666666666666,Growl,-.01328802188503634,1,1
4yDSFNMitxy6waXPTkPyyVvbbQSiqe7zD1VxnzEypump,N/A,0.3184510536843998,Growl,99a4f780-6519-4fca-938a-0e08064c4c5f,0.38333333333333336,Growl,.06488227964893356,0,1
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,N/A,0.41744888550205894,Wag,e229df95-89c4-412e-ac9f-f6cba4e56e8f,0.39166666666666666,Growl,-.02578221883539228,1,1
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,N/A,0.49775468591053385,Wag,522126ca-739a-440d-a706-fbcc03c7098a,0.39166666666666666,Growl,-.10608801924386719,1,1
69G8CpUVZAxbPMiEBrfCCCH445NwFxH6PzVL693Xpump,N/A,0.3667438914427982,Growl,6709d84f-fe54-4fbb-ac0e-c83ca7c6c45c,0.39166666666666666,Growl,.02492277522386846,0,1
6iA73gWCKkLWKbVr8rgibV57MMRxzsaqS9cWpgKBpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,N/A,0.31226065747864235,Growl,1275f713-0472-4a43-81fe-57f7dad92afd,0.39166666666666666,Growl,.07940600918802431,0,1
76EDL5qNcte2ZH29quTaFzagXjWAEY83CATEjyA6pump,N/A,0.321412749303214,Growl,null,0,,-.321412749303214,1,
89S7oVB4hui8ceJqhHreWB7fcxdthfvoB7z2pfJtpump,N/A,0.30388441474085454,Growl,null,0,,-.30388441474085454,1,
8DKgjd6zAYuP9fVmMHBBtygPqkJ111LrMCT7tDyPhE55,N/A,0.41135937905994785,Wag,null,0,,-.41135937905994785,1,
8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f,N/A,0.3921012988969152,Wag,null,0,,-.3921012988969152,1,
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,N/A,0.35402323140454306,Growl,1dcdaab1-6d86-4695-b089-f1dc4454e3a1,0.39166666666666666,Growl,.03764343526212360,0,1
9zB5wRarXMj86MymwLumSKA1Dx35zPqqKfcZtK1Spump,N/A,0.323003046045406,Growl,null,0,,-.323003046045406,1,
ACtfUWtgvaXrQGNMiohTusi5jcx5RJf5zwu9aAxkpump,N/A,0.32673863356815647,Growl,null,0,,-.32673863356815647,1,
CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,N/A,0.35402323140454306,Growl,null,0,,-.35402323140454306,1,
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,N/A,0.3275973594747914,Growl,null,0,,-.3275973594747914,1,
CFYhdWXsYfS7swnJgHRwb5toTHMEQD7Ljd5gGwKLpump,N/A,0.30388441474085454,Growl,null,0,,-.30388441474085454,1,
CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,N/A,0.32038713441589045,Growl,5142ad33-0e06-4347-ab0c-60aaf9197d93,0.39166666666666666,Growl,.07127953225077621,0,1
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,N/A,0.32673863356815647,Growl,null,0,,-.32673863356815647,1,
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,N/A,0.3544936965921973,Growl,null,0,,-.3544936965921973,1,
DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,N/A,0.35402323140454306,Growl,null,0,,-.35402323140454306,1,
Eg2ymQ2aQqjMcibnmTt8erC6Tvk9PVpJZCxvVPJz2agu,N/A,0.4023056012521319,Wag,null,0,,-.4023056012521319,1,
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,N/A,0.404954688551703,Wag,null,0,,-.404954688551703,1,
EsLb2XdNWVezNnhEsRVKYZ7BymiKUabzh4tdVhz4pump,N/A,0.3117929028223209,Growl,98857215-f514-47b1-9224-3acde803b257,0.38333333333333336,Growl,.07154043051101246,0,1
GkyPYa7NnCFbduLknCfBfP7p8564X1VZhwZYJ6CZpump,N/A,0.31880971704370203,Growl,null,0,,-.31880971704370203,1,
GPwwihLa1w9Qsz27SmNrj7aLVnE7pr2cAvHe6aVVpump,N/A,0.3927578811046844,Wag,null,0,,-.3927578811046844,1,
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,N/A,0.37797631496846196,Growl,null,0,,-.37797631496846196,1,
J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump,N/A,0.32038713441589045,Growl,null,0,,-.32038713441589045,1,
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,N/A,0.4277444160958137,Wag,e1831b4c-8d1d-4a3e-bf27-cac1e4c49abb,0.39166666666666666,Growl,-.03607774942914704,1,1
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,N/A,0.37190467698289764,Growl,null,0,,-.37190467698289764,1,
